#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-02-21T13:31:39 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T13:31:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=Vmag&-out=RAICRS&-out=DEICRS&HIPep=HIPep&Erratum=Erratum&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	HIP	Vmag	RAICRS	DEICRS
000.0995847627	+26.9181082481	    34	 6.43	000.09946973	+26.91823821
000.1029678346	-14.4904842926	    35	 9.07	000.10256052	-14.49048072
000.1033991460	+12.2671277140	    36	 7.68	000.10327550	+12.26709303
000.1053271547	-47.1795667332	    37	10.44	000.10535190	-47.17958382
000.1131259150	-79.0619829896	    38	 8.65	000.11104694	-79.06183133
000.1122921521	-16.6970092898	    39	 7.46	000.11186148	-16.69693020
000.1165709244	+54.3022365976	    41	 8.70	000.11656351	+54.30223774
000.1219509432	+67.2167835208	    40	10.61	000.12196971	+67.21679125
000.1254425641	+25.8447647671	    42	 8.20	000.12538666	+25.84478059
000.1287023299	+59.5596793560	    43	 6.18	000.12908900	+59.55973786
000.1327493241	-03.3063227539	    44	 7.91	000.13272230	-03.30636174
000.1339087125	-72.2027170667	    45	 9.59	000.13420453	-72.20271031
000.1345851827	-25.6222853151	    46	 8.57	000.13454429	-25.62225277
000.1349959315	-56.8356023479	    47	10.78	000.13519236	-56.83524773
000.1352357185	-40.6904740567	    48	 7.31	000.13522264	-40.69044664
000.1395683011	+16.6690487224	    49	 9.53	000.13950066	+16.66903183
000.1430850464	-53.0977126448	    50	 6.49	000.14287059	-53.09766277
000.1434152117	+01.0662126454	    51	 8.94	000.14339044	+01.06619726
000.1468910146	-77.0201164131	    52	 8.56	000.14665879	-77.02014050
000.1474234962	-29.2634139700	    53	10.96	000.14739023	-29.26338247
000.1525936914	+17.9689084162	    54	10.57	000.15165558	+17.96895579
000.1588334161	-66.6831734054	    55	 7.40	000.15783323	-66.68310336
000.1629265910	+00.2229314796	    56	 8.12	000.16283175	+00.22293899
000.1679988682	-69.6759649610	    57	 8.27	000.16828557	-69.67580068
000.1735189270	+62.1758981384	    58	 7.05	000.17376341	+62.17600484
000.1744463248	+55.7224601908	    59	 9.09	000.17444749	+55.72246267
000.1754330477	-64.4657990558	    60	 8.34	000.17542318	-64.46582516
000.1762918211	+53.8221456596	    61	 8.86	000.17615726	+53.82218625
000.1799751511	-45.4227389281	    62	 8.27	000.17996123	-45.42272731
000.1818095066	+45.2533335847	    63	 6.36	000.18174950	+45.25333305
000.1845726200	-27.9075816018	    64	 8.08	000.18458893	-27.90754614
000.1871096831	-54.8305236850	    65	11.00	000.18797532	-54.83034057
000.1884242533	-72.3182202550	    66	 8.55	000.18854917	-72.31824913
000.1993427070	+23.5382187125	    67	 7.83	000.19910132	+23.53824873
000.2003829227	+16.9881971773	    68	 8.79	000.20063628	+16.98896499
000.2014181885	+30.3958896703	    69	 8.33	000.20137175	+30.39589283
000.2026581845	+36.7776373110	    70	10.42	000.20280014	+36.77763945
000.2070254615	+36.7801059571	    71	 8.26	000.20709981	+36.78015328
000.2199319023	-12.8289609656	    72	 8.97	000.21946989	-12.82867015
000.2203287297	+66.8480110818	    73	 6.90	000.22045719	+66.84796687
000.2223452058	+35.7526241534	    74	 9.93	000.22187281	+35.75272213
000.2232728863	-50.4464587777	    75	 7.42	000.22316216	-50.44646500
000.2282138630	+32.8256539818	    76	 9.03	000.22821959	+32.82567452
000.2305745718	-30.0641664515	    77	 8.41	000.23052169	-30.06417333
000.2323117676	+17.8678508744	    78	 8.06	000.23231307	+17.86784193
000.2357718602	+35.3167202940	    79	 8.69	000.23572286	+35.31675386
000.2428327384	-11.8237385410	    80	 8.40	000.24179216	-11.82353722
000.2434138377	-04.9325343939	    81	 8.57	000.24386443	-04.93211471
000.2480168522	-10.9359635319	    82	 9.50	000.24803173	-10.93580540
000.2480726945	+52.0805620337	    83	 8.85	000.24808100	+52.08056444
000.2524274552	+27.8863304078	    84	 9.61	000.25180722	+27.88634368
000.2561370144	-24.7140478290	    85	10.62	000.25600730	-24.71404902
000.2604630307	+69.6035047896	    86	 8.05	000.26038262	+69.60349830
000.2614964296	-05.8350022074	    87	 7.80	000.26151556	-05.83497569
000.2690934424	-48.8098755962	    88	 5.71	000.26915958	-48.80985919
000.2771545370	+53.1669426029	    89	 7.87	000.27715178	+53.16694253
000.2800818283	-41.8875439075	    90	 7.64	000.27999988	-41.88742972
000.2805308174	-05.8743477321	    91	 7.66	000.28056847	-05.87433293
000.2906966016	-20.7055496571	    92	 8.68	000.29062512	-20.70558648
000.2923560848	-00.0760984511	    93	 8.12	000.29222255	-00.07592034
000.2949984531	-32.7568365337	    94	10.10	000.29485302	-32.75680569
000.3020141338	-11.9640335701	    95	 8.67	000.30203883	-11.96400015
000.3049451416	+13.9750881003	    96	10.46	000.30489357	+13.97474826
000.3071697082	-52.7985754081	    98	 9.87	000.30717811	-52.79857954
000.3073814986	-21.4040423290	    97	 9.48	000.30733362	-21.40404527
000.3160632268	+60.3552822057	    99	 7.04	000.31601620	+60.35529798
000.3163760569	+19.7412432230	   100	 8.44	000.31645128	+19.74131648
000.3197097992	-47.7938314469	   101	 9.88	000.31976150	-47.79382994
000.3204875805	-41.4874373910	   102	 7.05	000.32043200	-41.48735570
000.3220750212	-68.3711274828	   103	 8.29	000.32214393	-68.37102958
000.3266243146	-31.8996185345	   104	 9.34	000.32673657	-31.89961642
000.3278079299	+70.9289378451	   105	 7.73	000.32784438	+70.92895780
000.3302148739	+49.9815578121	   106	 6.22	000.33016464	+49.98158501
000.3338302112	-50.3373733304	   107	 5.53	000.33380226	-50.33739907
000.3366443853	-70.1252718836	   108	 8.53	000.33655323	-70.12530771
000.3465944710	+06.7914698742	   109	 7.23	000.34660201	+06.79149102
000.3486137639	+39.6107174008	   110	 8.61	000.34870816	+39.61081788
000.3498468084	+34.2818482225	   111	11.28	000.34908697	+34.28185977
000.3576763387	-16.9484460918	   112	10.76	000.35691658	-16.94782618
000.3656196554	+49.0104060218	   113	 8.93	000.36562073	+49.01041081
000.3716470206	+30.7357853733	   114	 7.95	000.37167609	+30.73587929
000.3725848359	-62.9231304264	   115	 7.46	000.37259669	-62.92315760
000.3753231890	-33.7927710115	   116	 8.60	000.37539303	-33.79270439
000.3805565631	-72.6058993480	   117	 8.55	000.38040810	-72.60590348
000.3865951357	-09.4300332791	   118	 9.20	000.38648579	-09.43003605
000.3901660249	+44.6754011607	   119	 6.82	000.39020229	+44.67544581
000.3959208190	-45.3447587783	   120	 8.29	000.39598898	-45.34468907
000.3964246310	+28.4236912780	   121	 6.83	000.39647681	+28.42377416
000.3987655417	-77.0657244661	   122	 4.78	000.39937928	-77.06529438
000.3998847465	+72.2366152800	   123	 7.21	000.40024110	+72.23660619
000.4042312331	+61.2228008031	   124	 5.58	000.40424537	+61.22280406
000.4046701503	-39.3367482915	   125	 8.70	000.40473165	-39.33667992
000.4088267282	+14.6323240212	   126	 8.06	000.40873313	+14.63230674
000.4122461121	-48.9356192663	   127	10.86	000.41208753	-48.93516169
000.4144154784	+73.6118465973	   128	 6.50	000.41376473	+73.61187664
000.4156153520	+05.3728082325	   129	 9.32	000.41560234	+05.37275092
000.4182981835	-30.6925368129	   130	 9.14	000.41825279	-30.69250699
000.4198682772	+62.0180873926	   131	 8.13	000.41994220	+62.01815066
000.4220210563	-34.6535452176	   132	10.62	000.42200516	-34.65350786
000.4234760593	-40.1487020394	   133	 6.62	000.42336890	-40.14866597
000.4251968285	-01.1399597985	   134	 9.96	000.42514055	-01.13997217
000.4267963058	-00.2177767478	   135	 8.64	000.42674592	-00.21749947
000.4286915781	+24.2531127201	   136	 6.60	000.42864226	+24.25318080
000.4327060603	+42.3671439079	   137	 6.25	000.43268925	+42.36714821
000.4374442822	-16.5316612038	   138	 7.83	000.43720393	-16.53172119
000.4452695284	+67.5069751306	   139	10.03	000.44529240	+67.50697620
000.4533324898	-68.1048974606	   140	 9.04	000.45267471	-68.10481108
000.4534943201	+36.3503582146	   141	 8.47	000.45342986	+36.35034560
000.4537773294	+66.3060319601	   142	 7.33	000.45374866	+66.30600204
000.4552783861	+76.1755975016	   144	 8.66	000.45508990	+76.17561121
000.4556468962	+21.4625025445	   143	10.35	000.45518210	+21.46213750
000.4560351217	-03.0275038232	   145	 5.13	000.45598912	-03.02747891
000.4558388817	-25.7985258505	   146	 8.96	000.45619148	-25.79769516
000.4660599186	+21.0262362756	   147	 8.49	000.46604367	+21.02624872
000.4778476400	+26.0040493361	   149	11.26	000.47868501	+26.00557721
000.4788210597	+15.5285415393	   148	 8.15	000.47879268	+15.52852839
000.4803049035	-37.2299527373	   150	 7.04	000.48036559	-37.22984397
000.4844189489	-28.1309480654	   152	10.02	000.48445318	-28.13095543
000.4845113600	+12.6548880039	   153	 8.90	000.48454484	+12.65495324
000.4848741427	-41.6137744619	   151	 7.78	000.48458240	-41.61373674
000.4900789996	-06.0140721205	   154	 4.37	000.48996506	-06.01397169
000.4911922787	+46.2691557500	   155	 9.93	000.49113894	+46.26916275
000.4969301511	+63.3578262583	   156	 8.60	000.49688500	+63.35784580
000.5004239150	-05.2139254314	   157	 8.51	000.50032768	-05.21399723
000.5008459972	-37.9018778865	   158	 7.09	000.50047134	-37.90179046
000.5109068553	-02.7661707649	   159	 6.93	000.51081115	-02.76616306
000.5118149003	-69.2691982711	   160	 8.68	000.51171520	-69.26920741
000.5124124896	+33.6959579461	   161	 8.98	000.51248009	+33.69599071
000.5133541766	+27.1186026592	   162	 9.84	000.51336753	+27.11861943
000.5171900180	-30.6852281661	   163	 8.98	000.51714313	-30.68523468
000.5191360406	+59.9401016991	   164	 7.98	000.51857812	+59.94001211
000.5197325433	-22.3274865187	   165	10.16	000.51974463	-22.32747055
000.5213171302	-56.5149308580	   166	 8.86	000.52152674	-56.51490157
000.5278262049	+39.1832029785	   167	 8.58	000.52780714	+39.18321360
000.5334286925	-02.8200722453	   168	 9.56	000.53352192	-02.81984528
000.5363834676	-68.2807693372	   169	 9.24	000.53502093	-68.28020594
000.5376004112	-20.8716623665	   170	 9.63	000.53767720	-20.87164212
000.5423132141	+27.0822560340	   171	 5.80	000.54018776	+27.08448905
000.5428714457	+67.4089524782	   172	 9.05	000.54288062	+67.40895644
000.5495685329	+47.5772057408	   173	 8.45	000.54959887	+47.57722222
000.5516405359	+59.9653380069	   174	 8.86	000.55156687	+59.96533825
000.5524079057	+49.7710861297	   175	 7.84	000.55243583	+49.77113897
000.5533988111	+44.4282621505	   176	 8.86	000.55333411	+44.42827722
000.5602276627	-11.9643520068	   177	 8.93	000.56020401	-11.96434717
000.5680682788	-27.1351529377	   178	 7.97	000.56779620	-27.13517299
000.5695149635	-13.4074374454	   179	 6.90	000.56886229	-13.40751554
000.5709120105	-09.1749278711	   180	 8.47	000.57090231	-09.17489501
000.5737724134	+60.7031677424	   181	 6.77	000.57381667	+60.70319460
000.5811952133	+52.5864067621	   182	 8.55	000.58116809	+52.58643746
000.5830027756	-29.7204140222	   183	 5.04	000.58297574	-29.72044805
000.5897690883	+11.0062358857	   184	 8.48	000.58977565	+11.00634091
000.5900380416	+10.7853625818	   185	 8.53	000.59015020	+10.78564387
000.6006957793	+08.9568236104	   186	 6.33	000.60069792	+08.95683360
000.6022829039	-06.0592700432	   187	 8.99	000.60211418	-06.05918213
000.6026937756	+06.3330129475	   188	 8.64	000.60250452	+06.33313676
000.6052334858	+54.1351394280	   189	 9.55	000.60528721	+54.13515756
000.6054341208	+10.7763636746	   190	 8.74	000.60555642	+10.77665206
000.6129606195	-46.0288958254	   191	12.43	000.61228711	-46.02884131
000.6198268213	+08.3938594136	   192	 8.16	000.61983117	+08.39393024
000.6217301957	-39.2125913223	   193	 9.46	000.62164007	-39.21249918
000.6237594849	+08.4854630885	   194	 5.70	000.62398938	+08.48557854
000.6257810606	+47.4228902175	   195	 7.62	000.62573691	+47.42295978
000.6270057285	+51.8299760557	   196	 8.95	000.62700447	+51.82997958
000.6323037402	+42.1477794183	   197	 8.97	000.63232895	+42.14779896
000.6327486717	+15.3351727658	   198	 8.94	000.63269567	+15.33519012
000.6350042732	+16.2565648242	   199	 7.24	000.63503230	+16.25655097
000.6354889988	-33.9926326635	   200	10.32	000.63546326	-33.99267216
000.6392801576	+18.6834066960	   201	 8.24	000.63931400	+18.68336438
000.6417406021	+54.5521394325	   202	 8.62	000.64173419	+54.55216087
000.6422862763	-15.8312515368	   203	 9.18	000.64222918	-15.83126945
000.6452259870	-43.9479291184	   204	 8.53	000.64508403	-43.94791349
000.6456506532	-05.1866512685	   205	 8.54	000.64571113	-05.18664439
000.6467924204	+18.8360438919	   206	 8.56	000.64683993	+18.83599601
000.6500681667	-67.6342875838	   208	 9.41	000.64992943	-67.63428107
000.6503624068	+66.0989661808	   207	 5.87	000.65034249	+66.09896341
000.6602081349	+66.1003993437	   209	 7.20	000.66015960	+66.10037725
000.6621419857	-08.4879551407	   210	 9.05	000.66214867	-08.48794379
000.6632216213	-37.9477206011	   211	 9.52	000.66317884	-37.94768074
000.6635095064	-29.0752475057	   212	10.24	000.66344190	-29.07525103
000.6670305259	+51.4724006514	   213	 7.70	000.66686344	+51.47241278
000.6691724877	+28.5422212942	   214	 8.17	000.66917246	+28.54222144
000.6741995959	+82.9732020681	   217	 7.29	000.67441616	+82.97320953
000.6745287957	+75.0362111144	   215	 9.26	000.67449039	+75.03619342
000.6768830916	+42.9206486607	   216	 7.94	000.67692229	+42.92069156
000.6796275154	-57.6336700891	   218	 8.42	000.67974974	-57.63363086
000.6903073145	+06.0344004061	   219	 8.56	000.69022925	+06.03445242
000.6917807134	+35.8154671668	   220	 7.52	000.69173956	+35.81547283
000.6938996833	+80.2822831190	   221	 7.74	000.69321513	+80.28224146
000.6944709411	-40.9832293562	   222	 8.85	000.69448089	-40.98317970
000.6962592526	+03.8604155428	   224	 9.01	000.69625192	+03.86040514
000.6965625767	+02.1301546604	   223	 7.17	000.69641117	+02.13037640
000.7001174828	-15.0405427036	   225	 9.04	000.70006380	-15.04053128
000.7004577114	-24.9452981855	   226	10.30	000.70031218	-24.94525463
000.7048677193	+80.2865786405	   227	 9.86	000.70416774	+80.28651236
000.7102664306	+28.2519049355	   228	 7.64	000.71015217	+28.25189113
000.7140019493	+47.2522682841	   229	 8.27	000.71393463	+47.25228068
000.7158843935	+30.3365420256	   230	 8.44	000.71569526	+30.33651580
000.7237653113	-58.7813981098	   231	 9.58	000.72341351	-58.78139077
000.7301181547	-30.1497729001	   232	 8.43	000.73006132	-30.14977973
000.7319230747	+71.3585163337	   233	 8.49	000.73197615	+71.35854324
000.7336089822	+70.2380003911	   234	 9.64	000.73358145	+70.23800778
000.7364535768	+71.3680304001	   235	 9.17	000.73646864	+71.36804423
000.7378638258	-00.8938739289	   236	 8.09	000.73781657	-00.89382979
000.7393019630	-39.5274124904	   237	 9.00	000.73911220	-39.52732256
000.7395338130	-20.0458821274	   238	 6.25	000.73927410	-20.04607402
000.7431862714	+03.3819321157	   239	 8.56	000.74317400	+03.38193739
000.7437298904	+09.7952309444	   240	10.81	000.74376859	+09.79522025
000.7520194948	+09.1382795357	   241	 8.76	000.75196696	+09.13829706
000.7522305809	-34.7439394736	   242	 7.76	000.75216595	-34.74405055
000.7533493924	-60.6919007693	   243	 7.82	000.75337695	-60.69189462
000.7588705542	+39.9951444964	   244	 7.90	000.75886478	+39.99515242
000.7637345699	-07.8155170198	   245	 8.52	000.76358207	-07.81552594
000.7644738931	+56.7332980149	   246	 9.73	000.76368704	+56.73318400
000.7654353916	+08.2612926500	   247	 9.19	000.76552823	+08.26141340
000.7656631178	+08.2706833110	   248	 8.10	000.76575139	+08.27080462
000.7742245439	+31.8700829878	   249	 8.75	000.77419621	+31.87010321
000.7742851747	+52.4651285344	   250	 8.14	000.77431725	+52.46516859
000.7753306246	-25.2611141104	   251	 8.65	000.77540550	-25.26104885
000.7796367491	+29.4859788942	   252	10.30	000.77959051	+29.48598254
000.7827304540	-24.1451455119	   253	 6.46	000.78257245	-24.14513788
000.7847780789	+42.7479077166	   254	 6.73	000.78466955	+42.74791705
000.7946638786	-24.5882582487	   255	 7.96	000.79452371	-24.58828778
000.7966005058	+54.5157743521	   256	 9.53	000.79659523	+54.51584355
000.8030680754	-31.2123839219	   257	 8.87	000.80301496	-31.21239379
000.8054770732	+17.5522684765	   258	 6.59	000.80532807	+17.55239698
000.8059042842	+48.7222940806	   259	 8.65	000.80590410	+48.72233890
000.8172295657	-55.4050705953	   260	 9.64	000.81709566	-55.40508846
000.8205348298	-23.6154345025	   261	 9.15	000.82050122	-23.61534569
000.8259464378	+32.8458640239	   262	 9.04	000.82579542	+32.84586959
000.8291782435	+04.6869281862	   263	12.04	000.82923787	+04.68713578
000.8320767742	+38.2440121029	   264	 8.42	000.83207925	+38.24401553
000.8353324876	-11.9453672142	   266	 8.09	000.83535989	-11.94520986
000.8353802874	-64.4760948701	   265	 9.06	000.83539281	-64.47608070
000.8353552899	-04.1457571218	   267	 8.09	000.83541112	-04.14573041
000.8417885002	+59.0786051118	   268	 8.18	000.84180567	+59.07861165
000.8420248312	+23.5750344174	   269	 8.77	000.84205196	+23.57504990
000.8498682851	+73.1744968151	   270	 7.36	000.85005688	+73.17449052
000.8528374859	-35.9651642880	   271	 9.16	000.85277163	-35.96517367
000.8555518678	-26.4151852390	   272	 8.82	000.85551618	-26.41518293
000.8568623942	-46.8309725383	   273	11.14	000.85687021	-46.83096933
000.8571361594	+63.6405198621	   274	 6.24	000.85715406	+63.64052431
000.8576069034	-29.0006626243	   275	 9.44	000.85767485	-29.00061360
000.8580604624	+20.6655295987	   276	 7.49	000.85791177	+20.66591788
000.8594974927	-36.2511927412	   277	 6.96	000.85927886	-36.25120504
000.8631152281	+55.5509004072	   278	 7.94	000.86311931	+55.55090206
000.8637674061	+62.3578062260	   279	 8.69	000.86377495	+62.35780416
000.8662038726	+53.3126887915	   280	 8.15	000.86626632	+53.31270092
000.8762029673	+55.0599606911	   281	 8.45	000.87618718	+55.05995058
000.8764272831	+19.3814960368	   282	 7.92	000.87642718	+19.38157170
000.8771180026	+12.3568205503	   283	 7.45	000.87715545	+12.35682896
000.8784740035	-65.8275050340	   284	 9.01	000.87833784	-65.82756660
000.8808410910	-35.6022296907	   285	 8.55	000.88067333	-35.60222342
000.8815070597	+78.7178259767	   286	 9.23	000.88130145	+78.71780714
000.8858538180	-13.2272920847	   287	 9.16	000.88580553	-13.22726530
000.8890847062	+42.3521060611	   288	 7.90	000.88875927	+42.35221969
000.9023813799	-51.8090997457	   289	 8.68	000.90235854	-51.80908752
000.9043801323	-31.0941366047	   290	 7.78	000.90411412	-31.09403248
000.9045736170	-28.4171370072	   291	 8.21	000.90454413	-28.41713516
000.9087842413	+70.3060285492	   292	 8.11	000.90870678	+70.30603307
000.9160146081	-57.1644624247	   293	 8.29	000.91589999	-57.16443914
000.9170990771	+03.9069733887	   294	 7.89	000.91715645	+03.90700467
000.9187050882	-41.0958852024	   295	 9.67	000.91866516	-41.09585606
000.9228527453	-28.3961955946	   296	 8.24	000.92207847	-28.39584776
000.9243515795	+48.4369067637	   297	 6.80	000.92444478	+48.43692667
000.9270236463	+13.3651663394	   298	 8.18	000.92695552	+13.36518977
000.9337386081	-63.6006666126	   299	 8.44	000.93377179	-63.60066163
000.9349576155	-17.3359877144	   301	 4.55	000.93488487	-17.33597002
000.9351589261	+42.0235222370	   300	 7.45	000.93490863	+42.02349764
000.9651623921	+66.7121829210	   302	 6.31	000.96511407	+66.71220273
000.9693033555	+57.3782775474	   303	 8.15	000.96915935	+57.37827711
000.9697911684	+22.2960473017	   304	 8.27	000.96979503	+22.29607151
000.9723076615	-28.3938122720	   305	 7.66	000.97206281	-28.39376930
000.9754258146	-57.8305004308	   306	 8.59	000.97473996	-57.83035720
000.9800104333	-42.5594836379	   307	11.55	000.97971157	-42.55949968
000.9837388564	+14.3788642483	   308	 7.09	000.98353978	+14.37891704
000.9859407830	-45.2886159953	   309	 8.54	000.98590855	-45.28859728
000.9877644187	-43.1918131793	   310	 9.58	000.98741047	-43.19150360
000.9876346638	+36.9702559115	   311	 8.44	000.98758897	+36.97021204
000.9895914621	+61.1036358337	   312	 8.59	000.98959785	+61.10364174
000.9911877723	-48.1251854241	   313	 8.01	000.99110213	-48.12518732
000.9916417209	+20.9537291878	   314	 8.29	000.99172662	+20.95381941
000.9922650846	-71.2787164980	   315	 9.62	000.99220988	-71.27863488
001.0010411583	+12.1457970814	   316	 7.26	001.00099668	+12.14583388
001.0033302851	-80.3951153803	   317	 7.91	001.00253201	-80.39507010
001.0096477802	-38.5947538210	   318	 9.45	001.00967468	-38.59474913
001.0158066078	+62.2219501890	   319	 8.19	001.01581829	+62.22195138
